"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2071044066125746623","Sun Jun 28 01:32:38 +0000 2026","10612","Ha? Gimana nggak mau rusak BUMN. Uang pajak rakyat kok dipake buat gaji yang beginian https://t.co/pBOsaIq7Fg","2071044066125746623","https://pbs.twimg.com/media/HL3Tma3bAAAyTHu.jpg","","in","","224","411","3435","https://x.com/undefined/status/2071044066125746623","1752301333263392769",
"2070797122480607293","Sat Jun 27 09:11:22 +0000 2026","2341","Akhirnya terjadi yang saya khawatirkan. Ini bukan semata karena UKT naik tapi karena pemerintahan Presiden @prabowo menganggap calon mahasiswa dari keluarga yang penghasilannya 2 5juta dari Provinsi dgn UMP Rp2 4juta dianggap anak orang kaya yang mampu membiayai UKT nya secara https://t.co/zt5pKIeja4","2070797122480607293","https://pbs.twimg.com/media/HLzyRHWbQAAfO-n.png","","in","","68","87","1265","https://x.com/undefined/status/2070797122480607293","24893875",
"2071230902257209529","Sun Jun 28 13:55:03 +0000 2026","2113","lika liku org org mbg https://t.co/ZdlKHgSACv","2071230902257209529","https://pbs.twimg.com/media/HL59hsVWgAAuOrE.jpg","","in","","5","88","476","https://x.com/undefined/status/2071230902257209529","2017662538524069888",
"2071454708267659294","Mon Jun 29 04:44:22 +0000 2026","9061","Dilarang demo di bundaran hi mahasiswa akhirnya demo di CFD.. Cara cerdas melawan pemerintah yang anti kritis.. https://t.co/lnz9jD2cYm","2071454708267659294","https://pbs.twimg.com/ext_tw_video_thumb/2071454621453971456/pu/img/UhkwMT8tLqFTcq9B.jpg","","in","","4","28","2523","https://x.com/undefined/status/2071454708267659294","2052290657817886721",
"2072865912672391432","Fri Jul 03 02:12:00 +0000 2026","1857","bayangin abis dimpimpin prabowo giliran seorang gibran yg jadi presiden bayangin aja dulu https://t.co/0ZFQ5Kg5eq","2072865912672391432","https://pbs.twimg.com/media/HMRI3VUaMAE5-1I.jpg","","in","","13","205","300","https://x.com/undefined/status/2072865912672391432","1300484934449000448",
"2056141257345544276","Sun May 17 22:34:11 +0000 2026","9738","Danantara belum menerbitkan laporan keuangan. Tampaknya karena kerugian besar akibat lebih 100 triliun rupiah dananya dipakai bermain di bursa saham. Ini harus diusut. Tapi siapa berani mengingat Danantara adalah kabinet bayangan yang langsung berada di bawah presiden RI.","2056141257345544276","","","in","","82","68","3727","https://x.com/undefined/status/2056141257345544276","296177546",
"2071143629486235992","Sun Jun 28 08:08:15 +0000 2026","3810","Yang gak ngikutin timnas korsel pasti mikirnya ini lebay tapi kalo yg tau gimana kacaunya KFA after Asian cup 2023 pasti sangat mewajarkan kenapa knet menteri presiden marah sama hasil timnas korsel di pildun 2026. Ini tuh puncak dari kepemimpinan Chung Monggyu yang korup-","2071143629486235992","","","in","","50","22","361","https://x.com/undefined/status/2071143629486235992","1648981067397992448",
"1902630075545313600","Thu Mar 20 07:55:33 +0000 2025","76057","rangkuman berita indo yang gua inget taun 2025 ini: - presiden anti kritik omon2 ketinggalan jaman - mantan presiden kita finalis occrp - wapres planga-plongo jadi juri lomba AI pula - korupsi dimana-mana (paling tinggi nyentuh 5 9 kuadrilliun) - koruptor hukuman nya lemah","1902630075545313600","","","in","","2198","449","37870","https://x.com/undefined/status/1902630075545313600","614218980",
"2055105004147773729","Fri May 15 01:56:29 +0000 2026","9164","Saya rangkum poin-poin penting dari tulisan @TheEconomist terkait Indonesia terbaru. Silakan renungkan sendiri: The Economist menilai pemerintahan Prabowo Subianto terlalu boros secara fiskal dan makin otoriter secara politik. Program makan gratis dan koperasi desa dianggap","2055105004147773729","","","in","","56","65","4825","https://x.com/undefined/status/2055105004147773729","218665104",
"2028369206203621383","Mon Mar 02 07:17:58 +0000 2026","20664","Rajin bayar pajak walaupun kerap dikecewakan https://t.co/VTAwQD3PTl","2028369206203621383","https://pbs.twimg.com/media/HCY3Cjja4AEi9l7.jpg","","in","","354","827","1071","https://x.com/undefined/status/2028369206203621383","1422951168",
