full_text
prabs bilang: - ga mungkin terjadi pertumbuhan ekonomi dan investasi tanpa kepastian hukum - ga mungkin ada keadilan tanpa pemerintah yg bersih dan kompeten - ga mungkin ada negara yg kuat kalau aparat negara ga melindungi rakyat NAH ITU TAU SEMUA KOCAKKK  
Gila ya menggratiskan UKT PTN se-Indonesia ternyata hanya butuh setara 1-2 minggu MBG!! Ternyata negara kita tuh ada duitnya.. cuman yha..  
3 hari mahasiswa demo 3 kali rupiah menguat. Lebih berguna demo mahasiswa daripada ratusan menteri dan satu presiden goblok.
🇮🇩 Pajak buku di Indonesia : 12% 🇲🇾 Pajak buku di Malaysia : 0% 🇬🇧 Pajak buku di Inggris : 0% 🇮🇳 Pajak buku di India : 0% Di mana bumi dipijak di situ rakyat dipalak 
teddy menjelaskan program pemerintah yakni magang nasional pendaftaran juli penghasilan saat magang bisa Rp 5 5 jt. 2 minggu sebelum magang selesai dapat kerja. gaji naik jadi 7 juta  
Tanggal 1 Juli 2026 (besok) InsyaAllah adalah hari terakhir kami bersidang di MK. Sebelum Indonesia bangkrut dan profesi guru punah. Kita menangkan gugatan ini ya. Dan sebelum proyek korup (MBG) ini makin merusak Indonesia diberbagai aspek  
Jerome Polin kembali berikan pendapat dan merasa capek tiap hari liat berita buruk melalui akun sosmed nya ia bilang: Jujur at this point aku bingung kita sebagai rakyat tuh bisa apa sih? speak up di sosmed udah ga didenger. Dilawan pake buzzer lagi. Demo udah ga ada  
Pernyataan Menteri HAM Natalius Pigai soal LGBT langsung memicu gempa di media sosial. Pigai menyebut bahwa masyarakat Indonesia saat ini cuma belum siap menerima keberadaan LGBT secara sosial dan hukum. Tapi Pigai pasang badan soal hak dasar. Menurutnya urusan status  
isi yapping prabowo hari ini di gorontalo: - absen pejabat 10 menit - saudara saudara sekalian.... - saya sudah cukup lama berjuang bersama petani dan nelayan seluruh indonesia - saudara saudara sekalian - tidak ada negara maju tanpa ada petani makmur - saya siap di panggil  
BOLAK BALIK DIPENJARA SEKARANG JADI MENTERI! KAPAN TERAKHIR DIPENJARA? Sementara rakyat harus urus SKCK batas umur syarat ijazah syarat bejibun lainnya belum tentu juga lolos kerja.  
Pramono Anung: Beasiswa KJMU Diperluas untuk S2 dan S3  
Jadi ada seorg ibu yg bekerja sampai tengah malam dengan berjualan es teh di Manggarai si ibu bawa anaknya yg berumur 3th. Anaknya main ke area tertutup lalu masuk ke lubang galian proyek pembangunan multifungsi. Si anak meninggal. Gue ga mau menyalahkan si ibu. Krn menurut gue  
Rakyat jelata apply kerja di BUMN: Syaratnya gila: Minimal S1 lulusan PTN ternama IPK 3.5 Pengalaman kerja 5 tahun Fasih 3 bahasa asing Umur maksimal 25 tahun Harus menguasai elemen bumi air api udara Bisa mengalahkan Raja Api Ozai Gaji? UMR!!!  
pemerintah hadirkan 3 guru untuk sidang di MK bela MBG : - akui hadir dengan tulus tanpa di bayar - Gaji guru tidak dipotong - semua tetap terima gaji dan tunjangan penuh - Jam belajar tidak terganggu - distribusi MBG lewat guru piket makan di jam makan siang - Kehadiran siswa  
BREAKING NEWS : PERTAMA KALI SEJAK COVID INDONESIA DEFISIT NERACA PERDAGANGAN !! BESARNYA NGK NANGUNG2 1.6 MILYAR DOLLAR SETARA HAMPIR 26 TRILIUN RUPIAH HANYA DALAM WAKTU SEBULAN !!! SIAP-SIAP  
momen ahli MBG kena skakmat hakim: Ahli MBG DPR (Parulian): Yang Mulia di Finlandia dan Swedia makan siang gratis itu hak subjektif setiap siswa didanai penuh oleh pajak. Di Inggris hanya untuk kelompok penerima manfaat tertentu. Prancis dan Italia mengombinasikan subsidi  
